Deakins Research Outpost
Agricium,0,0
Agricultural Supplies,1,0
Altruciatoxin,0,0
Aluminum,0,0
Astatine,0,8.07
Beryl,0,0
Chlorine,0,1.7
Corundum,0,0
Diamond,0,0
Distilled Spirits,0,5.33
E'tam,0,0
Flourine,0,2.7
Gold,0,0
Hydrogen,0,0
Iodine,0,0.45
Laranite,0,0
Medical Supplies,17.23,0
Neon,0,0
Processed Food,0,1.5
Quartz,0,0
Revenant Tree Pollen,0,0
Scrap,0,0
Slam,0,0
Stims,2.87,0
Titanium,0,0
Tungstun,0,0
Waste,0.01,0
Widow,0,0
Amioshi Plaque Caves,0,13.2
Aphorite,0,0
Components Hurston Junk Pile,0,0
Dolivine,0,0
Golden Medmons Hurston Savanna,0,0
Hadanite,0,0
Pitambu Hurston Savanna,0,0
Prota Any Acidic,0,0
Ranta Dung Caves,0,0
Revenant Pods Desert With Atmosphere,0,0
